id,qb_question,qb_answer,qb_choice1,qb_choice2,qb_choice3,qb_topic_id,topic,qa,qa_pos,qa_pos_bigram,qa_pos_trigram,qa_parse_tree,ss,ss_pos,ss_pos_bigram,ss_pos_trigram,ss_parse_tree,before,before_last,before_last_pos,before_pos,before_pos_bigram,before_pos_trigram,before_parse_tree,after,after_first,after_first_pos,after_pos,after_pos_bigram,after_pos_trigram,after_parse_tree,ans,ans_first,ans_last,ans_pos,ans_first_pos,ans_last_pos,ans_is_first,ans_is_last,ans_length
861,The story is * the corruption of power.,about,with,na,na,1,prepositions,The story is about the corruption of power.,DT NN VBZ IN DT NN IN NN,DT_NN NN_VBZ VBZ_IN IN_DT DT_NN NN_IN IN_NN,DT_NN_VBZ NN_VBZ_IN VBZ_IN_DT IN_DT_NN DT_NN_IN NN_IN_NN,S_NP_VP_. NP_DT_NN VP_VBZ_PP PP_IN_NP NP_NP_PP NP_DT_NN PP_IN_NP NP_NN,The story is about the corruption of power,DT NN VBZ IN DT NN IN NN,DT_NN NN_VBZ VBZ_IN IN_DT DT_NN NN_IN IN_NN,DT_NN_VBZ NN_VBZ_IN VBZ_IN_DT IN_DT_NN DT_NN_IN NN_IN_NN,S_NP_VP NP_DT_NN VP_VBZ_PP PP_IN_NP NP_NP_PP NP_DT_NN PP_IN_NP NP_NN,The story is,is,VBZ,DT NN VBZ,DT_NN NN_VBZ,DT_NN_VBZ,S_NP_VP NP_DT_NN VP_VBZ,the corruption of power,the,DT,DT NN IN NN,DT_NN NN_IN IN_NN,DT_NN_IN NN_IN_NN,NP_NP_PP NP_DT_NN PP_IN_NP NP_NN,about,about,about,IN,IN,IN,y,y,1.0
862,She is concerned * the state of her country.,about,by,na,na,1,prepositions,She is concerned about the state of her country.,PRP VBZ VBN IN DT NN IN PRP$ NN,PRP_VBZ VBZ_VBN VBN_IN IN_DT DT_NN NN_IN IN_PRP$ PRP$_NN,PRP_VBZ_VBN VBZ_VBN_IN VBN_IN_DT IN_DT_NN DT_NN_IN NN_IN_PRP$ IN_PRP$_NN,S_NP_VP_. NP_PRP VP_VBZ_VP VP_VBN_PP PP_IN_NP NP_NP_PP NP_DT_NN PP_IN_NP NP_PRP$_NN,She is concerned about the state of her,PRP VBZ VBN IN DT NN IN PRP$,PRP_VBZ VBZ_VBN VBN_IN IN_DT DT_NN NN_IN IN_PRP$,PRP_VBZ_VBN VBZ_VBN_IN VBN_IN_DT IN_DT_NN DT_NN_IN NN_IN_PRP$,S_NP_VP NP_PRP VP_VBZ_VP VP_VBN_PP PP_IN_NP NP_NP_PP NP_DT_NN PP_IN_NP NP_PRP,She is concerned,concerned,JJ,PRP VBZ VBN,PRP_VBZ VBZ_VBN,PRP_VBZ_VBN,S_NP_VP NP_PRP VP_VBZ_ADJP ADJP_JJ,the state of her,the,DT,DT NN IN PRP$,DT_NN NN_IN IN_PRP$,DT_NN_IN NN_IN_PRP$,NP_NP_PP NP_DT_NN PP_IN_NP NP_PRP,about,about,about,IN,IN,IN,y,y,1.0
863,He comes * a small village in Africa.,from,by,na,na,1,prepositions,He comes from a small village in Africa.,PRP VBZ IN DT JJ NN IN NNP,PRP_VBZ VBZ_IN IN_DT DT_JJ JJ_NN NN_IN IN_NNP,PRP_VBZ_IN VBZ_IN_DT IN_DT_JJ DT_JJ_NN JJ_NN_IN NN_IN_NNP,S_NP_VP_. NP_PRP VP_VBZ_PP PP_IN_NP NP_NP_PP NP_DT_JJ_NN PP_IN_NP NP_NNP,He comes from a small village in,PRP VBZ IN DT JJ NN IN,PRP_VBZ VBZ_IN IN_DT DT_JJ JJ_NN NN_IN,PRP_VBZ_IN VBZ_IN_DT IN_DT_JJ DT_JJ_NN JJ_NN_IN,S_NP_VP NP_PRP VP_VBZ_PP_PP PP_IN_NP NP_DT_JJ_NN PP_IN,He comes,comes,VBZ,PRP VBZ,PRP_VBZ,,S_NP_VP NP_PRP VP_VBZ,a small village in,a,DT,DT JJ NN IN,DT_JJ JJ_NN NN_IN,DT_JJ_NN JJ_NN_IN,NP_NP_PP NP_DT_JJ_NN PP_IN,from,from,from,IN,IN,IN,y,y,1.0
864,I had to hide * my attackers for hours in this hut.,from,against,na,na,1,prepositions,I had to hide from my attackers for hours in this hut.,PRP VBD TO VB IN PRP$ NNS IN NNS IN DT NN,PRP_VBD VBD_TO TO_VB VB_IN IN_PRP$ PRP$_NNS NNS_IN IN_NNS NNS_IN IN_DT DT_NN,PRP_VBD_TO VBD_TO_VB TO_VB_IN VB_IN_PRP$ IN_PRP$_NNS PRP$_NNS_IN NNS_IN_NNS IN_NNS_IN NNS_IN_DT IN_DT_NN,S_NP_VP_. NP_PRP VP_VBD_S S_VP VP_TO_VP VP_VB_PP_PP PP_IN_NP NP_PRP$_NNS PP_IN_NP NP_NP_PP NP_NNS PP_IN_NP NP_DT_NN,I had to hide from my attackers for hours,PRP VBD TO VB IN PRP$ NNS IN NNS,PRP_VBD VBD_TO TO_VB VB_IN IN_PRP$ PRP$_NNS NNS_IN IN_NNS,PRP_VBD_TO VBD_TO_VB TO_VB_IN VB_IN_PRP$ IN_PRP$_NNS PRP$_NNS_IN NNS_IN_NNS,S_NP_VP NP_PRP VP_VBD_S S_VP VP_TO_VP VP_VB_PP_PP PP_IN_NP NP_PRP$_NNS PP_IN_NP NP_NNS,I had to hide,hide,NN,PRP VBD TO VB,PRP_VBD VBD_TO TO_VB,PRP_VBD_TO VBD_TO_VB,S_NP_VP NP_PRP VP_VBD_S S_VP VP_TO_VP VP_VB,my attackers for hours,my,PRP$,PRP$ NNS IN NNS,PRP$_NNS NNS_IN IN_NNS,PRP$_NNS_IN NNS_IN_NNS,NP_NP_PP NP_PRP$_NNS PP_IN_NP NP_NNS,from,from,from,IN,IN,IN,y,y,1.0
865,"* choosing this direction, we solved the problem.",By,For,na,na,1,prepositions,"By choosing this direction, we solved the problem.",IN VBG DT NN PRP VBD DT NN,IN_VBG VBG_DT DT_NN NN_PRP PRP_VBD VBD_DT DT_NN,IN_VBG_DT VBG_DT_NN DT_NN_PRP NN_PRP_VBD PRP_VBD_DT VBD_DT_NN,"S_PP_,_NP_VP_. PP_IN_S S_VP VP_VBG_NP NP_DT_NN NP_PRP VP_VBD_NP NP_DT_NN","By choosing this direction, we",IN VBG DT NN PRP,IN_VBG VBG_DT DT_NN NN_PRP,IN_VBG_DT VBG_DT_NN DT_NN_PRP,"FRAG_S_,_NP S_PP PP_IN_S S_VP VP_VBG_NP NP_DT_NN NP_PRP",,,,,,,,"choosing this direction, we",choosing,VBG,VBG DT NN PRP,VBG_DT DT_NN NN_PRP,VBG_DT_NN DT_NN_PRP,"FRAG_S_,_NP S_VP VP_VBG_NP NP_DT_NN NP_PRP",By,By,By,IN,IN,IN,b,y,1.0
866,This masterpiece is painted * an unknown artist.,by,with,na,na,1,prepositions,This masterpiece is painted by an unknown artist.,DT NN VBZ VBN IN DT JJ NN,DT_NN NN_VBZ VBZ_VBN VBN_IN IN_DT DT_JJ JJ_NN,DT_NN_VBZ NN_VBZ_VBN VBZ_VBN_IN VBN_IN_DT IN_DT_JJ DT_JJ_NN,S_NP_VP_. NP_DT_NN VP_VBZ_VP VP_VBN_PP PP_IN_NP NP_DT_JJ_NN,This masterpiece is painted by an unknown artist,DT NN VBZ VBN IN DT JJ NN,DT_NN NN_VBZ VBZ_VBN VBN_IN IN_DT DT_JJ JJ_NN,DT_NN_VBZ NN_VBZ_VBN VBZ_VBN_IN VBN_IN_DT IN_DT_JJ DT_JJ_NN,S_NP_VP NP_DT_NN VP_VBZ_VP VP_VBN_PP PP_IN_NP NP_DT_JJ_NN,This masterpiece is painted,painted,VBN,DT NN VBZ VBN,DT_NN NN_VBZ VBZ_VBN,DT_NN_VBZ NN_VBZ_VBN,S_NP_VP NP_DT_NN VP_VBZ_VP VP_VBN,an unknown artist,an,DT,DT JJ NN,DT_JJ JJ_NN,DT_JJ_NN,NP_DT_JJ_NN,by,by,by,IN,IN,IN,y,y,1.0
867,Look for me * the bookshop after your meeting.,at,on,na,na,1,prepositions,Look for me at the bookshop after your meeting.,NN IN PRP IN DT NN IN PRP$ NN,NN_IN IN_PRP PRP_IN IN_DT DT_NN NN_IN IN_PRP$ PRP$_NN,NN_IN_PRP IN_PRP_IN PRP_IN_DT IN_DT_NN DT_NN_IN NN_IN_PRP$ IN_PRP$_NN,S_VP_. VP_VB_PP_PP PP_IN_NP NP_PRP PP_IN_NP NP_NP_PP NP_DT_NN PP_IN_NP NP_PRP$_NN,Look for me at the bookshop after your,NN IN PRP IN DT NN IN PRP$,NN_IN IN_PRP PRP_IN IN_DT DT_NN NN_IN IN_PRP$,NN_IN_PRP IN_PRP_IN PRP_IN_DT IN_DT_NN DT_NN_IN NN_IN_PRP$,S_VP VP_VB_PP_PP PP_IN_NP NP_PRP PP_IN_NP NP_NP_PP NP_DT_NN PP_IN_NP NP_PRP$,Look for me,me,PRP,NN IN PRP,NN_IN IN_PRP,NN_IN_PRP,S_VP VP_VB_PP PP_IN_NP NP_PRP,the bookshop after your,the,DT,DT NN IN PRP$,DT_NN NN_IN IN_PRP$,DT_NN_IN NN_IN_PRP$,NP_NP_PP NP_DT_NN PP_IN_NP NP_PRP$,at,at,at,IN,IN,IN,y,y,1.0
868,I smiled * her and she acknowledged me.,at,with,na,na,1,prepositions,I smiled at her and she acknowledged me.,PRP VBD IN PRP$ CC PRP VBD NN,PRP_VBD VBD_IN IN_PRP$ PRP$_CC CC_PRP PRP_VBD VBD_NN,PRP_VBD_IN VBD_IN_PRP$ IN_PRP$_CC PRP$_CC_PRP CC_PRP_VBD PRP_VBD_NN,S_S_CC_S_. S_NP_VP NP_PRP VP_VBD_PP PP_IN_NP NP_PRP S_NP_VP NP_PRP VP_VBD_NP NP_PRP,I smiled at her and she acknowledged,PRP VBD IN PRP$ CC PRP VBD,PRP_VBD VBD_IN IN_PRP$ PRP$_CC CC_PRP PRP_VBD,PRP_VBD_IN VBD_IN_PRP$ IN_PRP$_CC PRP$_CC_PRP CC_PRP_VBD,S_S_CC_S S_NP_VP NP_PRP VP_VBD_PP PP_IN_NP NP_PRP S_NP_VP NP_PRP VP_VBD,I smiled,smiled,VBN,PRP VBD,PRP_VBD,,S_NP_VP NP_PRP VP_VBD,her and she acknowledged,her,PRP$,PRP$ CC PRP VBD,PRP$_CC CC_PRP PRP_VBD,PRP$_CC_PRP CC_PRP_VBD,S_NP_VP NP_PRP_CC_PRP VP_VBD,at,at,at,IN,IN,IN,y,y,1.0
869,I placed my hand * her shoulder to assure her.,on,onto,na,na,1,prepositions,I placed my hand on her shoulder to assure her.,PRP VBD PRP$ NN IN PRP$ NN TO VB NN,PRP_VBD VBD_PRP$ PRP$_NN NN_IN IN_PRP$ PRP$_NN NN_TO TO_VB VB_NN,PRP_VBD_PRP$ VBD_PRP$_NN PRP$_NN_IN NN_IN_PRP$ IN_PRP$_NN PRP$_NN_TO NN_TO_VB TO_VB_NN,S_NP_VP_. NP_PRP VP_VBD_NP_PP NP_PRP$_NN PP_IN_NP NP_PRP$_NN_S S_VP VP_TO_VP VP_VB_NP NP_PRP,I placed my hand on her shoulder to assure,PRP VBD PRP$ NN IN PRP$ NN TO VB,PRP_VBD VBD_PRP$ PRP$_NN NN_IN IN_PRP$ PRP$_NN NN_TO TO_VB,PRP_VBD_PRP$ VBD_PRP$_NN PRP$_NN_IN NN_IN_PRP$ IN_PRP$_NN PRP$_NN_TO NN_TO_VB,S_NP_VP NP_PRP VP_VBD_NP_PP NP_PRP$_NN PP_IN_NP NP_PRP$_NN_S S_VP VP_TO_VP VP_VB,I placed my hand,hand,NN,PRP VBD PRP$ NN,PRP_VBD VBD_PRP$ PRP$_NN,PRP_VBD_PRP$ VBD_PRP$_NN,S_NP_VP NP_PRP VP_VBD_NP NP_PRP$_NN,her shoulder to assure,her,PRP$,PRP$ NN TO VB,PRP$_NN NN_TO TO_VB,PRP$_NN_TO NN_TO_VB,FRAG_NP NP_PRP$_NN_S S_VP VP_TO_VP VP_VB,on,on,on,IN,IN,IN,y,y,1.0
870,I was trying to remove the stain * my jacket.,on,onto,na,na,1,prepositions,I was trying to remove the stain on my jacket.,PRP VBD VBG TO VB DT NN IN PRP$ NN,PRP_VBD VBD_VBG VBG_TO TO_VB VB_DT DT_NN NN_IN IN_PRP$ PRP$_NN,PRP_VBD_VBG VBD_VBG_TO VBG_TO_VB TO_VB_DT VB_DT_NN DT_NN_IN NN_IN_PRP$ IN_PRP$_NN,S_NP_VP_. NP_PRP VP_VBD_VP VP_VBG_S S_VP VP_TO_VP VP_VB_NP_PP NP_DT_NN PP_IN_NP NP_PRP$_NN,to remove the stain on my jacket,TO VB DT NN IN PRP$ NN,TO_VB VB_DT DT_NN NN_IN IN_PRP$ PRP$_NN,TO_VB_DT VB_DT_NN DT_NN_IN NN_IN_PRP$ IN_PRP$_NN,S_VP VP_TO_VP VP_VB_NP_PP NP_DT_NN PP_IN_NP NP_PRP$_NN,to remove the stain,stain,NN,TO VB DT NN,TO_VB VB_DT DT_NN,TO_VB_DT VB_DT_NN,S_VP VP_TO_VP VP_VB_NP NP_DT_NN,my jacket,my,PRP$,PRP$ NN,PRP$_NN,,NP_PRP$_NN,on,on,on,IN,IN,IN,y,y,1.0
871,She has agreed to participate * the contest.,in,for,na,na,1,prepositions,She has agreed to participate in the contest.,PRP VBZ VBN TO VB IN DT NN,PRP_VBZ VBZ_VBN VBN_TO TO_VB VB_IN IN_DT DT_NN,PRP_VBZ_VBN VBZ_VBN_TO VBN_TO_VB TO_VB_IN VB_IN_DT IN_DT_NN,S_NP_VP_. NP_PRP VP_VBZ_VP VP_VBN_S S_VP VP_TO_VP VP_VB_PP PP_IN_NP NP_DT_NN,has agreed to participate in the contest,VBZ VBN TO VB IN DT NN,VBZ_VBN VBN_TO TO_VB VB_IN IN_DT DT_NN,VBZ_VBN_TO VBN_TO_VB TO_VB_IN VB_IN_DT IN_DT_NN,S_VP VP_VBZ_VP VP_VBN_S S_VP VP_TO_VP VP_VB_PP PP_IN_NP NP_DT_NN,has agreed to participate,participate,VB,VBZ VBN TO VB,VBZ_VBN VBN_TO TO_VB,VBZ_VBN_TO VBN_TO_VB,S_VP VP_VBZ_VP VP_VBN_S S_VP VP_TO_VP VP_VB,the contest,the,DT,DT NN,DT_NN,,NP_DT_NN,in,in,in,IN,IN,IN,y,y,1.0
872,The snake is swimming slowly * the water.,in,into,na,na,1,prepositions,The snake is swimming slowly in the water.,DT NN VBZ VBG RB IN DT NN,DT_NN NN_VBZ VBZ_VBG VBG_RB RB_IN IN_DT DT_NN,DT_NN_VBZ NN_VBZ_VBG VBZ_VBG_RB VBG_RB_IN RB_IN_DT IN_DT_NN,S_NP_VP_. NP_DT_NN VP_VBZ_VP VP_VBG_ADVP_PP ADVP_RB PP_IN_NP NP_DT_NN,snake is swimming slowly in the water,NN VBZ VBG RB IN DT NN,NN_VBZ VBZ_VBG VBG_RB RB_IN IN_DT DT_NN,NN_VBZ_VBG VBZ_VBG_RB VBG_RB_IN RB_IN_DT IN_DT_NN,S_NP_VP NP_NN VP_VBZ_VP VP_VBG_ADVP_PP ADVP_RB PP_IN_NP NP_DT_NN,snake is swimming slowly,slowly,RB,NN VBZ VBG RB,NN_VBZ VBZ_VBG VBG_RB,NN_VBZ_VBG VBZ_VBG_RB,S_NP_VP NP_NN VP_VBZ_VP VP_VBG_ADVP ADVP_RB,the water,the,DT,DT NN,DT_NN,,NP_DT_NN,in,in,in,IN,IN,IN,y,y,1.0
