id,qb_question,qb_answer,qb_choice1,qb_choice2,qb_choice3,qb_topic_id,topic,qa,qa_pos,qa_pos_bigram,qa_pos_trigram,qa_parse_tree,ss,ss_pos,ss_pos_bigram,ss_pos_trigram,ss_parse_tree,before,before_last,before_last_pos,before_pos,before_pos_bigram,before_pos_trigram,before_parse_tree,after,after_first,after_first_pos,after_pos,after_pos_bigram,after_pos_trigram,after_parse_tree,ans,ans_first,ans_last,ans_pos,ans_first_pos,ans_last_pos,ans_is_first,ans_is_last,ans_length
11,It is very late. I am going * bed soon.,to,for,na,na,1,prepositions,It is very late. I am going to bed soon.,PRP VBZ RB JJ PRP VBP VBG TO VB NN,PRP_VBZ VBZ_RB RB_JJ JJ_PRP PRP_VBP VBP_VBG VBG_TO TO_VB VB_NN,PRP_VBZ_RB VBZ_RB_JJ RB_JJ_PRP JJ_PRP_VBP PRP_VBP_VBG VBP_VBG_TO VBG_TO_VB TO_VB_NN,S_NP_VP_. NP_PRP VP_VBZ_ADJP ADJP_RB_JJ,late. I am going to bed soon,NN PRP VBP VBG TO VB RB,NN_PRP PRP_VBP VBP_VBG VBG_TO TO_VB VB_RB,NN_PRP_VBP PRP_VBP_VBG VBP_VBG_TO VBG_TO_VB TO_VB_RB,ADVP_RB_.,late. I am going,going,VBG,NN PRP VBP VBG,NN_PRP PRP_VBP VBP_VBG,NN_PRP_VBP PRP_VBP_VBG,ADVP_RB_.,bed soon,bed,NN,NN RB,NN_RB,,FRAG_NP_ADVP NP_NN ADVP_RB,to,to,to,TO,TO,TO,x,x,1.0
12,I am very tired so I am going * take a nap.,to,with,na,na,1,prepositions,I am very tired so I am going to take a nap.,PRP VBP RB JJ IN PRP VBP VBG TO VB DT NN,PRP_VBP VBP_RB RB_JJ JJ_IN IN_PRP PRP_VBP VBP_VBG VBG_TO TO_VB VB_DT DT_NN,PRP_VBP_RB VBP_RB_JJ RB_JJ_IN JJ_IN_PRP IN_PRP_VBP PRP_VBP_VBG VBP_VBG_TO VBG_TO_VB TO_VB_DT VB_DT_NN,S_NP_VP_. NP_PRP VP_VBP_ADJP ADJP_RB_JJ_SBAR SBAR_IN_S S_NP_VP NP_PRP VP_VBP_VP VP_VBG_S S_VP VP_TO_VP VP_VB_NP NP_DT_NN,so I am going to take a nap,RB PRP VBP VBG TO VB DT NN,RB_PRP PRP_VBP VBP_VBG VBG_TO TO_VB VB_DT DT_NN,RB_PRP_VBP PRP_VBP_VBG VBP_VBG_TO VBG_TO_VB TO_VB_DT VB_DT_NN,S_CC_NP_VP NP_PRP VP_VBP_VP VP_VBG_S S_VP VP_TO_VP VP_VB_NP NP_DT_NN,so I am going,going,VBG,RB PRP VBP VBG,RB_PRP PRP_VBP VBP_VBG,RB_PRP_VBP PRP_VBP_VBG,S_CC_NP_VP NP_PRP VP_VBP_VP VP_VBG,take a nap,take,VB,VB DT NN,VB_DT DT_NN,VB_DT_NN,S_VP VP_VB_NP NP_DT_NN,to,to,to,TO,TO,TO,x,x,1.0
13,The book clearly belongs * him as his name is written on it.,to,with,na,na,1,prepositions,The book clearly belongs to him as his name is written on it.,DT NN RB VBZ TO PRP IN PRP$ NN VBZ VBN IN NN,DT_NN NN_RB RB_VBZ VBZ_TO TO_PRP PRP_IN IN_PRP$ PRP$_NN NN_VBZ VBZ_VBN VBN_IN IN_NN,DT_NN_RB NN_RB_VBZ RB_VBZ_TO VBZ_TO_PRP TO_PRP_IN PRP_IN_PRP$ IN_PRP$_NN PRP$_NN_VBZ NN_VBZ_VBN VBZ_VBN_IN VBN_IN_NN,S_NP_ADVP_VP_. NP_DT_NN ADVP_RB VP_VBZ_PP_SBAR PP_IN_NP NP_PRP SBAR_IN_S S_NP_VP NP_PRP$_NN VP_VBZ_VP VP_VBN_PP PP_IN_NP NP_PRP,The book clearly belongs to him as his name,DT NN RB VBZ TO PRP IN PRP$ NN,DT_NN NN_RB RB_VBZ VBZ_TO TO_PRP PRP_IN IN_PRP$ PRP$_NN,DT_NN_RB NN_RB_VBZ RB_VBZ_TO VBZ_TO_PRP TO_PRP_IN PRP_IN_PRP$ IN_PRP$_NN,S_NP_ADVP_VP NP_DT_NN ADVP_RB VP_VBZ_PP_PP PP_IN_NP NP_PRP PP_IN_NP NP_PRP$_NN,The book clearly belongs,belongs,NNS,DT NN RB NNS,DT_NN NN_RB RB_NNS,DT_NN_RB NN_RB_NNS,S_NP_ADVP_VP NP_DT_NN ADVP_RB VP_VBZ,him as his name,him,PRP,PRP IN PRP$ NN,PRP_IN IN_PRP$ PRP$_NN,PRP_IN_PRP$ IN_PRP$_NN,NP_NP_PP NP_PRP PP_IN_NP NP_PRP$_NN,to,to,to,TO,TO,TO,x,x,1.0
14,There must be a mistake because this does not belong * me.,to,with,na,na,1,prepositions,There must be a mistake because this does not belong to me.,EX MD VB DT NN IN DT VBZ RB VB TO VB,EX_MD MD_VB VB_DT DT_NN NN_IN IN_DT DT_VBZ VBZ_RB RB_VB VB_TO TO_VB,EX_MD_VB MD_VB_DT VB_DT_NN DT_NN_IN NN_IN_DT IN_DT_VBZ DT_VBZ_RB VBZ_RB_VB RB_VB_TO VB_TO_VB,S_NP_VP_. NP_EX VP_MD_VP VP_VB_NP_SBAR NP_DT_NN SBAR_IN_S S_NP_VP NP_DT VP_VBZ_RB_VP VP_VB_PP PP_IN_NP NP_PRP,this does not belong to me,DT VBZ RB VB TO PRP,DT_VBZ VBZ_RB RB_VB VB_TO TO_PRP,DT_VBZ_RB VBZ_RB_VB RB_VB_TO VB_TO_PRP,S_NP_VP NP_DT VP_VBZ_RB_VP VP_VB_PP PP_IN_NP NP_PRP,this does not belong,belong,NN,DT VBZ RB VB,DT_VBZ VBZ_RB RB_VB,DT_VBZ_RB VBZ_RB_VB,S_NP_VP NP_DT VP_VBZ_RB_VP VP_VB,me,me,PRP,PRP,,,S_NP NP_PRP,to,to,to,TO,TO,TO,x,x,1.0
15,My friend knows the answer * the question.,to,for,na,na,1,prepositions,My friend knows the answer to the question.,PRP$ NN VBZ DT NN TO DT NN,PRP$_NN NN_VBZ VBZ_DT DT_NN NN_TO TO_DT DT_NN,PRP$_NN_VBZ NN_VBZ_DT VBZ_DT_NN DT_NN_TO NN_TO_DT TO_DT_NN,S_NP_VP_. NP_PRP$_NN VP_VBZ_NP_PP NP_DT_NN PP_IN_NP NP_DT_NN,friend knows the answer to the question,NN VBZ DT NN TO DT NN,NN_VBZ VBZ_DT DT_NN NN_TO TO_DT DT_NN,NN_VBZ_DT VBZ_DT_NN DT_NN_TO NN_TO_DT TO_DT_NN,S_NP_VP NP_NN VP_VBZ_NP_PP NP_DT_NN PP_IN_NP NP_DT_NN,friend knows the answer,answer,NN,NN VBZ DT NN,NN_VBZ VBZ_DT DT_NN,NN_VBZ_DT VBZ_DT_NN,S_NP_VP NP_NN VP_VBZ_NP NP_DT_NN,the question,the,DT,DT NN,DT_NN,,NP_DT_NN,to,to,to,TO,TO,TO,x,x,1.0
16,I have come * the conclusion that he is a liar.,to,with,na,na,1,prepositions,I have come to the conclusion that he is a liar.,PRP VBP VBN TO DT NN IN PRP VBZ DT NN,PRP_VBP VBP_VBN VBN_TO TO_DT DT_NN NN_IN IN_PRP PRP_VBZ VBZ_DT DT_NN,PRP_VBP_VBN VBP_VBN_TO VBN_TO_DT TO_DT_NN DT_NN_IN NN_IN_PRP IN_PRP_VBZ PRP_VBZ_DT VBZ_DT_NN,S_NP_VP_. NP_PRP VP_VBP_VP VP_VBN_PP_SBAR PP_IN_NP NP_DT_NN SBAR_IN_S S_NP_VP NP_PRP VP_VBZ_NP NP_DT_NN,I have come to the conclusion that he,PRP VBP VBN TO DT NN IN PRP,PRP_VBP VBP_VBN VBN_TO TO_DT DT_NN NN_IN IN_PRP,PRP_VBP_VBN VBP_VBN_TO VBN_TO_DT TO_DT_NN DT_NN_IN NN_IN_PRP,S_NP_VP NP_PRP VP_VBP_VP VP_VBN_PP_SBAR PP_IN_NP NP_DT_NN SBAR_IN_S S_NP NP_PRP,I have come,come,VB,PRP VBP VBN,PRP_VBP VBP_VBN,PRP_VBP_VBN,S_NP_VP NP_PRP VP_VBP_VP VP_VBN,the conclusion that he,the,DT,DT NN IN PRP,DT_NN NN_IN IN_PRP,DT_NN_IN NN_IN_PRP,NP_NP_PP NP_DT_NN PP_IN_NP NP_PRP,to,to,to,TO,TO,TO,x,x,1.0
17,I will apologise * him for my remarks.,to,with,na,na,1,prepositions,I will apologise to him for my remarks.,PRP MD VB TO PRP IN PRP$ NN,PRP_MD MD_VB VB_TO TO_PRP PRP_IN IN_PRP$ PRP$_NN,PRP_MD_VB MD_VB_TO VB_TO_PRP TO_PRP_IN PRP_IN_PRP$ IN_PRP$_NN,S_NP_VP_. NP_PRP VP_MD_VP VP_VB_PP_PP PP_IN_NP NP_PRP PP_IN_NP NP_PRP$_NNS,I will apologise to him for my remarks,PRP MD VB TO PRP IN PRP$ NNS,PRP_MD MD_VB VB_TO TO_PRP PRP_IN IN_PRP$ PRP$_NNS,PRP_MD_VB MD_VB_TO VB_TO_PRP TO_PRP_IN PRP_IN_PRP$ IN_PRP$_NNS,S_NP_VP NP_PRP VP_MD_VP VP_VB_PP_PP PP_IN_NP NP_PRP PP_IN_NP NP_PRP$_NNS,I will apologise,apologise,NN,PRP MD VB,PRP_MD MD_VB,PRP_MD_VB,S_NP_VP NP_PRP VP_MD_VP VP_VB,him for my remarks,him,PRP,PRP IN PRP$ NNS,PRP_IN IN_PRP$ PRP$_NNS,PRP_IN_PRP$ IN_PRP$_NNS,NP_NP_PP NP_PRP PP_IN_NP NP_PRP$_NNS,to,to,to,TO,TO,TO,x,x,1.0
18,His marriage * the pop star did not last very long.,to,with,na,na,1,prepositions,His marriage to the pop star did not last very long.,PRP$ NN TO DT NN NN VBD RB JJ RB JJ,PRP$_NN NN_TO TO_DT DT_NN NN_NN NN_VBD VBD_RB RB_JJ JJ_RB RB_JJ,PRP$_NN_TO NN_TO_DT TO_DT_NN DT_NN_NN NN_NN_VBD NN_VBD_RB VBD_RB_JJ RB_JJ_RB JJ_RB_JJ,S_NP_VP_. NP_NP_PP NP_PRP$_NN PP_IN_NP NP_DT_NN_NN VP_VBD_RB_VP VP_VB_ADJP ADJP_RB_JJ,His marriage to the pop star did,PRP$ NN TO DT NN NN VBD,PRP$_NN NN_TO TO_DT DT_NN NN_NN NN_VBD,PRP$_NN_TO NN_TO_DT TO_DT_NN DT_NN_NN NN_NN_VBD,S_NP_VP NP_NP_PP NP_PRP$_NN PP_IN_NP NP_DT_NN_NN VP_VBD,His marriage,marriage,NN,PRP$ NN,PRP$_NN,,NP_PRP$_NN,the pop star did,the,DT,DT NN NN VBD,DT_NN NN_NN NN_VBD,DT_NN_NN NN_NN_VBD,S_NP_VP NP_DT_NN_NN VP_VBD,to,to,to,TO,TO,TO,x,x,1.0
19,There is something about her that appeals * everyone.,to,with,na,na,1,prepositions,There is something about her that appeals to everyone.,EX VBZ NN IN PRP$ WDT NNS TO VB,EX_VBZ VBZ_NN NN_IN IN_PRP$ PRP$_WDT WDT_NNS NNS_TO TO_VB,EX_VBZ_NN VBZ_NN_IN NN_IN_PRP$ IN_PRP$_WDT PRP$_WDT_NNS WDT_NNS_TO NNS_TO_VB,S_NP_VP_. NP_EX VP_VBZ_NP NP_NP_SBAR NP_NP_PP NP_NN PP_IN_NP NP_PRP SBAR_WHNP_S WHNP_WDT S_VP VP_VBZ_PP PP_IN_NP NP_NN,about her that appeals to everyone,IN PRP$ WDT NNS TO NN,IN_PRP$ PRP$_WDT WDT_NNS NNS_TO TO_NN,IN_PRP$_WDT PRP$_WDT_NNS WDT_NNS_TO NNS_TO_NN,FRAG_PP PP_IN_NP NP_NP_SBAR NP_PRP SBAR_WHNP_S WHNP_WDT S_VP VP_VBZ_PP PP_IN_NP NP_NN,about her that appeals,appeals,NNS,IN PRP$ IN NNS,IN_PRP$ PRP$_IN IN_NNS,IN_PRP$_IN PRP$_IN_NNS,FRAG_PP_NP_NP PP_IN_NP NP_PRP NP_DT NP_NNS,everyone,everyone,NN,NN,,,NP_NN,to,to,to,TO,TO,TO,x,x,1.0
20,Everyone prays for a peaceful end * this situation.,to,with,na,na,1,prepositions,Everyone prays for a peaceful end to this situation.,NN NNS IN DT JJ NN TO DT NN,NN_NNS NNS_IN IN_DT DT_JJ JJ_NN NN_TO TO_DT DT_NN,NN_NNS_IN NNS_IN_DT IN_DT_JJ DT_JJ_NN JJ_NN_TO NN_TO_DT TO_DT_NN,S_NP_VP_. NP_NN VP_VBZ_PP_PP PP_IN_NP NP_DT_JJ_NN PP_IN_NP NP_DT_NN,for a peaceful end to this situation,IN DT JJ NN TO DT NN,IN_DT DT_JJ JJ_NN NN_TO TO_DT DT_NN,IN_DT_JJ DT_JJ_NN JJ_NN_TO NN_TO_DT TO_DT_NN,FRAG_PP_PP PP_IN_NP NP_DT_JJ_NN PP_IN_NP NP_DT_NN,for a peaceful end,end,NN,IN DT JJ NN,IN_DT DT_JJ JJ_NN,IN_DT_JJ DT_JJ_NN,PP_IN_NP NP_DT_JJ_NN,this situation,this,DT,DT NN,DT_NN,,NP_DT_NN,to,to,to,TO,TO,TO,x,x,1.0
21,He was frustrated * himself for repeating the mistake.,with,about,na,na,1,prepositions,He was frustrated with himself for repeating the mistake.,PRP VBD VBN IN PRP IN VBG DT NN,PRP_VBD VBD_VBN VBN_IN IN_PRP PRP_IN IN_VBG VBG_DT DT_NN,PRP_VBD_VBN VBD_VBN_IN VBN_IN_PRP IN_PRP_IN PRP_IN_VBG IN_VBG_DT VBG_DT_NN,S_NP_VP_. NP_PRP VP_VBD_VP VP_VBN_PP_PP PP_IN_NP NP_PRP PP_IN_S S_VP VP_VBG_NP NP_DT_NN,He was frustrated with himself for repeating the,PRP VBD VBN IN PRP IN VBG DT,PRP_VBD VBD_VBN VBN_IN IN_PRP PRP_IN IN_VBG VBG_DT,PRP_VBD_VBN VBD_VBN_IN VBN_IN_PRP IN_PRP_IN PRP_IN_VBG IN_VBG_DT,S_NP_VP NP_PRP VP_VBD_VP VP_VBN_PP_PP PP_IN_NP NP_PRP PP_IN_S S_VP VP_VBG_NP NP_DT,He was frustrated,frustrated,VBN,PRP VBD VBN,PRP_VBD VBD_VBN,PRP_VBD_VBN,S_NP_VP NP_PRP VP_VBD_VP VP_VBN,himself for repeating the,himself,PRP,PRP IN VBG DT,PRP_IN IN_VBG VBG_DT,PRP_IN_VBG IN_VBG_DT,NP_NP_X NP_NP_PP NP_PRP PP_IN_NP NP_VBG X_DT,with,with,with,IN,IN,IN,x,x,1.0
